        成员名称                 阶级      火炉等级    战力           周功勋         总功勋         周捐献
60      小巫见大污               3         宫阙3级     214885755      0              50531418       16080
61      安妮海瑟薇               2         宫阙2级     169720601      160882430      221809390      21840
62      章若楠                   2         宫阙2级     183419027      107742676      107742676      51840
63      小蜜蜂#380               2         宫阙2级     169579757      0              426000         38880
64      气气虫                   2         宫阙2级     155900847      0              0              6480
65      向左向右向前看           2         宫阙2级     132949215      192210324      248309080      46800
66      潇洒峰峰                 2         宫阙2级     160627330      0              0              29280
67      登龙机械                 2         宫阙2级     162179895      136249158      279685458      23760
68      打我就跑                 2         宫阙2级     210942196      155596558      505419960      70320
69      零氪玩家                 2         宫阙2级     152958093      70374604       121924660      19440
70      回眸的大哥               2         宫阙2级     166228775      0              0              43200
71      冬天的秘密               2         宫阙2级     126603144      24260440       33323640       12000
72      佑佑有                   2         宫阙2级     165808546      0              0              53760
73      迷死她丶伟斌             2         宫阙2级     150777733      9682292        9682292        36720
74      再躺五分钟               2         宫阙2级     163475815      24238960       100005042      39120
75      囍糖丶                   2         宫阙3级     155921038      0              1409580872     0
76      大地飞歌                 2         宫阙2级     172023886      0              16379480       52800
77      几度红尘                 2         宫阙2级     120033565      20112100       51546984       10800
78      暗黑教父                 2         宫阙2级     197044815      235022058      301814554      52080
79      太阳雪                   2         宫阙2级     136441804      7270364        7961784        7920
80      秦老伯                   2         宫阙2级     147521693      334758176      521971754      66240
81      卡皮巴拉在阿巴           2         宫阙2级     151694277      303575124      385010606      18720
82      尼古拉斯长风             2         宫阙2级     183813822      477015658      854611964      60720
83      黑蚂蚁                   2         宫阙2级     172017059      92790816       205076312      54960
84      爱喝奶茶                 2         宫阙2级     122275475      0              604443860      0
85      小小冠军                 1         宫阙1级     133500995      191120436      286364760      57360
86      加班加呆了星人           1         宫阙1级     136102076      119545826      130780076      37440
87      巴蜀风土人情             1         宫阙1级     123317676      0              22523880       49440
88      对我好小号               1         30          123710314      12124320       24248400       68160
89      小火龙小号               1         26          64787234       0              0              55440
90      辞优啊                   1         27          80889673       5582164        53224128       68160
91      天可汗                   1         宫阙3级     209933167      0              350933452      0
